,P,MR,Cv,Cp,T,R
0,1000000.0,0.3,10309.63196020294,12892.04559450876,955.9885425438616,571.4908340503855
1,1102040.8163265307,0.3,10177.089970074594,12725.692737741396,960.798623378179,568.5368533585893
2,1204081.6326530613,0.3,10056.484524590895,12574.035336055793,965.2000789841948,565.8569162258157
3,1306122.448979592,0.3,9945.90133326687,12434.744913165458,969.2575858126987,563.4058681199617
4,1408163.2653061224,0.3,9843.851963016205,12306.006482737139,973.0214928747441,561.1488012892
5,1510204.081632653,0.3,9749.153373520821,12186.374313576147,976.5317763650401,559.0581752690023
6,1612244.8979591837,0.3,9660.849251793697,12074.677541556768,979.8207173211911,557.111887199879
7,1714285.714285714,0.3,9578.163266604766,11969.963386767544,982.9147640083655,555.2919302532963
8,1816326.5306122447,0.3,9500.447835087776,11871.436156353913,985.8358636616584,553.583444756427
9,1918367.3469387754,0.3,9427.160805648193,11778.428478967398,988.602430740736,551.9740249813306
10,2020408.163265306,0.3,9357.84394200705,11690.375443726778,991.2300703680719,550.4532112631366
11,2122448.9795918367,0.3,9292.106873374432,11606.795120800845,993.7321243480507,549.0121018509419
12,2224489.7959183673,0.3,9229.612670361064,11527.271045479923,996.1200889113074,547.6430614896672
13,2326530.612244898,0.3,9170.070804395713,11451.443574670702,998.4039434768242,546.3394911837117
14,2428571.428571428,0.3,9113.179782547988,11378.950563744642,1000.5924100451132,545.0956498993767
15,2530612.244897959,0.3,9058.720308144577,11309.52027869504,1002.6931715341993,543.9065344433593
16,2632653.0612244895,0.3,9006.540484725498,11242.95326818619,1004.7130095991314,542.7677265254057
17,2734693.87755102,0.3,8956.46669172775,11179.033559057862,1006.6579320042075,541.6753124624867
18,2836734.693877551,0.3,8908.342921699397,11117.56706275884,1008.533297986185,540.625813098372
19,2938775.5102040814,0.3,8862.030010390095,11058.380452599376,1010.3439088165601,539.6161224272902
20,3040816.326530612,0.3,8817.403030635789,11001.317999510095,1012.0940828636445,538.6434562038463
21,3142857.1428571427,0.3,8774.350133157335,10946.240079220384,1013.7877184904772,537.705309255367
22,3244897.9591836734,0.3,8732.768518414348,10893.018457520753,1015.4283468141498,536.799419179498
23,3346938.775510204,0.3,8692.566428857855,10841.53841673024,1017.019176834367,535.9237367135784
24,3448979.5918367347,0.3,8653.659875765443,10791.694934937172,1018.5631333988645,535.0763994895626
25,3551020.4081632653,0.3,8615.972224014811,10743.39211878553,1020.0628899327514,534.2557101853644
26,3653061.224489796,0.3,8579.433870908804,10696.54273621738,1021.5208967022263,533.4601175950205
27,3755102.040816326,0.3,8543.97943381127,10651.065036971122,1022.9394044115755,532.688200723834
28,3857142.857142857,0.3,8509.550412104465,10606.88558153063,1024.32048630293,531.9386542479878
29,3959183.6734693875,0.3,8476.092231917195,10563.935918950476,1025.666055762311,531.2102765555628
30,4061224.489795918,0.3,8443.554640302435,10522.152966111898,1026.9778825631306,530.5019591732689
31,4163265.3061224488,0.3,8411.891091890633,10481.478266611695,1028.257606910024,529.8126773376915
32,4265306.122448979,0.3,8381.058439251035,10441.85760142561,1029.5067518244332,529.141481841449
33,4367346.93877551,0.3,8351.017317195423,10403.241386083886,1030.7267338506363,528.487491856795
34,4469387.75510204,0.3,8321.728958722204,10365.581050403416,1031.9188736812464,527.8498884313825
35,4571428.571428571,0.3,8293.1593947066,10328.833740877919,1033.084403301071,527.227909035159
36,4673469.387755102,0.3,8265.276213879697,10292.958645581268,1034.2244746532124,526.6208424149186
37,4775510.204081632,0.3,8238.049092889763,10257.917566443793,1035.3401662391614,526.0280241424961
38,4877551.020408163,0.3,8211.44965341594,10223.674738335423,1036.4324892370578,525.4488326211081
39,4979591.8367346935,0.3,8185.452576566488,10190.19806491211,1037.50239300749,524.8826851897321
40,5081632.653061224,0.3,8160.03017850034,10157.452991449274,1038.5507700441192,524.3290361865728
41,5183673.469387755,0.3,8135.160320976748,10125.411399670877,1039.5784604537448,523.7873720953578
42,5285714.285714285,0.3,8110.821148385294,10094.04566877801,1040.5862559242903,523.257210226743
43,5387755.102040816,0.3,8086.9917290331805,10063.329378345981,1041.574903477446,522.7380961058851
44,5489795.918367347,0.3,8063.652434842661,10033.23772923369,1042.5451087133072,522.2296012705366
45,5591836.734693877,0.3,8040.78472913336,10003.747292919084,1043.4975388393545,521.7313213499004
46,5693877.551020408,0.3,8018.371527130716,9974.836410002783,1044.4328254545524,521.2428743953843
47,5795918.367346939,0.3,7996.39535315428,9946.483095602132,1045.3515668779644,520.7638988931849
48,5897959.183673469,0.3,7974.840982212684,9918.668022223748,1046.2543306994212,520.2940528931637
49,6000000.0,0.3,7953.693531449884,9891.372352047823,1047.1416556890729,519.8330122662292
50,1000000.0,0.37551020408163266,10621.24804538861,13400.270839883015,983.9595002991001,569.7901604272103
51,1102040.8163265307,0.37551020408163266,10487.999743572436,13233.598323576618,989.0161516230122,566.9149125169255
52,1204081.6326530613,0.37551020408163266,10366.536544675007,13081.298194863833,993.6492716990726,564.301263412983
53,1306122.448979592,0.37551020408163266,10254.99400936719,12941.133533629589,997.9255028565872,561.9065733532991
54,1408163.2653061224,0.37551020408163266,10151.949646187946,12811.386340831406,1001.8967873132001,559.6978072229813
55,1510204.081632653,0.37551020408163266,10056.237061260268,12690.65337445587,1005.6044356642437,557.6488866218975
56,1612244.8979591837,0.37551020408163266,9966.900316894054,12577.780986498576,1009.0818108961149,555.7388167042727
57,1714285.714285714,0.37551020408163266,9883.167232921347,12471.831635753624,1012.3562593622682,553.9504606407265
58,1816326.5306122447,0.37551020408163266,9804.400987788104,12372.029999132734,1015.4504904405532,552.2696536528749
59,1918367.3469387754,0.37551020408163266,9730.065848669037,12277.722536604386,1018.3835733804273,550.6845540154587
60,2020408.163265306,0.37551020408163266,9659.706570288166,12188.352926252875,1021.171677869684,549.185161740118
61,2122448.9795918367,0.37551020408163266,9592.935765473172,12103.446754050441,1023.8286380267275,547.7629569937255
62,2224489.7959183673,0.37551020408163266,9529.419085723348,12022.593909707852,1026.3663826348406,546.4106215798607
63,2326530.612244898,0.37551020408163266,9468.866496323608,11945.438074505888,1028.7952709342865,545.1218241804695
64,2428571.428571428,0.37551020408163266,9411.026038829237,11871.669120091945,1031.1243579624804,543.8910503268418
65,2530612.244897959,0.37551020408163266,9355.672692921013,11801.010047292802,1033.3616055227062,542.71346928397
66,2632653.0612244895,0.37551020408163266,9302.611635082401,11733.220337075181,1035.5140521172775,541.5848240698954
67,2734693.87755102,0.37551020408163266,9251.668716320768,11668.084848978557,1037.587951007663,540.5013454014593
68,2836734.693877551,0.37551020408163266,9202.68872912135,11605.411610490177,1039.5888833294114,539.4596798771196
69,2938775.5102040814,0.37551020408163266,9155.533268822357,11545.029187913053,1041.5218515532947,538.4568312515723
70,3040816.326530612,0.37551020408163266,9110.076758631505,11486.781945937779,1043.3913567490556,537.4901109205944
71,3142857.1428571427,0.37551020408163266,9066.20701531414,11430.53070990974,1045.2014650138262,536.557099105702
72,3244897.9591836734,0.37551020408163266,9023.822744954377,11376.14955791179,1046.9558592869569,535.6556079545533
73,3346938.775510204,0.37551020408163266,8982.829556358978,11323.521302772686,1048.6578898254882,534.7836543607709
74,3448979.5918367347,0.37551020408163266,8943.144642947242,11272.542759879958,1050.310610348076,533.9394351448532
75,3551020.4081632653,0.37551020408163266,8904.691162623465,11223.118209401146,1051.9168134771578,533.1213057171992
76,3653061.224489796,0.37551020408163266,8867.398774542846,11175.159954876639,1053.4790595523077,532.3277621771433
77,3755102.040816326,0.37551020408163266,8831.204510226846,11128.589260738343,1054.9997017999895,531.5574254584486
78,3857142.857142857,0.37551020408163266,8796.045542459004,11083.328035631217,1056.480908175102,530.8090291655773
79,3959183.6734693875,0.37551020408163266,8761.869406674057,11039.310477174819,1057.9246804128188,530.0814059473345
80,4061224.489795918,0.37551020408163266,8728.624076213688,10996.471659238916,1059.3328707362443,529.3734784697534
81,4163265.3061224488,0.37551020408163266,8696.265728039667,10954.756411922164,1060.7071959346954,528.6842496543039
82,4265306.122448979,0.37551020408163266,8664.747612774372,10914.106576782651,1062.0492511863142,528.0127968645069
83,4367346.93877551,0.37551020408163266,8634.031023976393,10874.473451595288,1063.3605206522025,527.3582623043984
84,4469387.75510204,0.37551020408163266,8604.078242622316,10835.809750590008,1064.6423878341848,526.719848449753
85,4571428.571428571,0.37551020408163266,8574.854485943913,10798.071805491578,1065.8961442063094,526.0968123115518
